fleet,rego,model,vin,bodywork,livery,depot
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
10,4610AO,Volvo B10BLE,YV3R4A518YA006364,"Volgren ""CR221L""",PTV,Rail
11,2811AO,Iveco Metro,6F2BARB009DS00180,"Volgren ""CR228L""",PTV,West Heidelberg
,,,,,,
13,4765AO,Scania L94UA,YS4L6X20001839518,"Volgren ""CR224L""",PTV,Dandenong
,,,,,,
15,2815AO,Iveco Metro 17.215,6F2BARB004DL01088,"Volgren ""CR228L""",PTV,West Heidelberg
,,,,,,
17,2817AO,Metrotech Delta 250,6F2BARB001DH00045,"Volgren ""CR221L""",PTV,Dandenong
18,2818AO,Iveco Metro 17.215,6F2BARB005DM00194,"Volgren ""CR228L""",PTV,West Heidelberg
,,,,,,
,,,,,,
21,3621AO,Scania L94UB,YS4L4X20001842651,"Volgren ""CR221L""",PTV,Croydon
,,,,,,
23,3623AO,Scania L94IB,YS4L4X20001835262,"NCBC ""Primero""",,Monbulk
,,,,,,
25,u/r,Volvo B58-56,10698,Volgren,,Heritage
,,,,,,
,,,,,,
,,,,,,
,,,,,,
30,4630AO,Volvo B10BLE,YV3R4A515VA003062,"Volgren ""CR221L""",,Rail
31,4631AO,Volvo B10BLE,YV3R4A514WA003944,"Volgren ""CR221L""",,Rail
32,3632AO,Scania K94IB,YS2K4X20001843704,"Volgren ""SC222""",,Monbulk
33,3633AO,Scania L113CRL,YS4LC4X2B01830611,"Volgren ""CR221L""",U.S. Bus Lines,Rail
34,4634AO,Volvo B10BLE,YV3R4A51XYA006365,"Volgren ""CR221L""",PTV,Rail
35,4635AO,Volvo B10BLE,YV3R4A516WA003945,"Volgren ""CR221L""",,Rail
36,3636AO,Scania L113CRL,YS4LC4X2B01830754,"Volgren ""CR221L""",PTV,Rail
,,,,,,
,,,,,,
,,,,,,
40,3640AO,MAN NL202,6ABA090090AX01007,"Volgren ""CR221L""",PTV,Rail
41,3641AO,MAN NL202,6ABA090091AX01008,"Volgren ""CR221L""",PTV,Monbulk
,,,,,,
43,4767AO,Volvo B10BLE,YV3R4A5181A007844,"Volgren ""CR221L""",PTV,Dandenong
44,4766AO,Volvo B10BLE,YV3R4A51X1A007845,"Volgren ""CR221L""",PTV,Dandenong
45,3645AO,Scania L94IB,YS4L4X20001835694,"NCBC ""Primero""",,Monbulk
,,,,,,
47,0547AO,Scania K94IB,YS2K4X20001845137,"Volgren ""SC222""",,Monbulk
48,3648AO,Scania K94IB,YS4K4X20001843230,"Volgren ""SC222""",,Monbulk
49,3649AO,Scania K94IB,YS4K4X20001843234,"Volgren ""SC222""",,Monbulk
,,,,,,
51,4651AO,Volvo B7L,YV3R7C716XA000030,"Volgren ""CR221L""",PTV,Rail
52,4652AO,Volvo B10M MkIV,YV31M2B11WX048229,"Volgren ""SC221""",,Dandenong
,,,,,,
,,,,,,
,,,,,,
56,4656AO,Volvo B10M MkIV,YV31M2B18WX048230,"Volgren ""SC221""",,Dandenong
57,4657AO,Volvo B10M MkIV,YV31M2B1XWX048231,"Volgren ""SC221""",,Dandenong
